id;Severity;age_classes;day_week;hour;impact1_classes;make;man_coll;month;speed_classes;rest_use;reljct2
736;1;9;3;14;13;7.0;3;11;3;1.0;1
738;1;8;1;15;13;2.0;2;10;4;1.0;1
743;1;10;3;7;13;7.0;1;11;5;1.0;1
744;1;6;3;15;1;4.0;1;11;3;1.0;8
745;0;3;5;24;13;4.0;2;11;5;1.0;1
747;0;4;5;9;1;2.0;1;11;5;1.0;1
752;1;8;7;15;13;7.0;4;10;4;2.0;8
755;1;7;6;16;1;2.0;1;12;4;1.0;1
756;0;4;7;2;1;4.0;1;12;6;1.0;1
766;1;4;4;22;13;4.0;3;12;4;1.0;2
767;0;5;6;10;13;2.0;2;12;6;1.0;1
784;1;7;5;21;21;4.0;4;2;6;2.0;1
786;0;7;3;11;13;10.0;1;5;3;2.0;1
797;1;7;5;12;12;1.0;5;5;3;1.0;2
798;1;7;5;12;2;2.0;5;5;4;1.0;2
803;1;3;2;10;13;2.0;1;10;4;2.0;1
808;0;2;6;2;1;10.0;1;1;6;3.0;1
813;1;7;3;7;1;7.0;1;3;4;3.0;2
816;0;8;1;24;1;2.0;1;4;4;3.0;3
817;1;4;6;23;13;2.0;4;4;5;1.0;8
818;0;8;2;24;2;2.0;1;4;5;3.0;1
819;0;6;6;20;13;2.0;4;4;7;1.0;2
820;1;7;7;22;15;7.0;1;4;3;3.0;1
822;0;5;1;18;1;10.0;1;5;6;3.0;5
824;0;8;2;17;13;2.0;2;5;3;3.0;3
826;1;4;1;9;13;10.0;1;5;6;3.0;1
831;1;9;5;14;1;7.0;1;6;4;3.0;1
832;0;6;7;15;1;4.0;1;6;5;1.0;1
833;0;12;2;11;13;2.0;1;6;4;1.0;1
834;1;8;4;15;13;10.0;1;6;4;1.0;1
836;1;12;7;17;1;10.0;1;6;5;1.0;1
838;0;7;4;22;21;2.0;4;6;3;3.0;2
839;0;4;2;1;13;2.0;2;6;5;3.0;1
841;1;8;7;10;1;8.0;1;6;5;3.0;1
843;0;9;6;16;21;10.0;4;7;2;1.0;2
844;1;9;6;19;1;7.0;1;7;4;3.0;1
845;0;8;1;22;1;7.0;1;7;3;3.0;1
846;1;4;6;20;13;2.0;4;7;3;1.0;2
849;0;8;7;20;1;7.0;1;7;5;3.0;1
850;0;9;4;14;15;6.0;1;7;5;1.0;1
851;0;10;1;14;1;7.0;1;7;5;3.0;1
852;1;10;1;13;1;7.0;1;7;4;3.0;1
853;0;3;1;20;13;10.0;1;7;6;1.0;1
855;0;4;2;19;21;8.0;4;7;3;3.0;2
856;1;8;1;12;1;8.0;1;7;5;3.0;1
859;1;8;6;15;2;7.0;4;8;3;3.0;2
860;0;8;1;13;15;7.0;1;8;5;3.0;1
861;1;9;2;16;12;7.0;1;8;3;3.0;1
863;0;8;5;16;10;2.0;3;8;4;1.0;1
866;0;7;7;9;1;7.0;1;8;4;3.0;1
869;0;7;1;13;1;7.0;1;8;5;3.0;1
870;1;9;4;11;1;7.0;1;8;3;3.0;1
871;1;11;7;12;1;7.0;1;8;4;3.0;8
873;0;9;2;16;1;7.0;1;8;4;3.0;8
874;0;4;7;19;10;7.0;4;8;5;3.0;1
875;1;5;7;19;13;7.0;4;8;5;3.0;1
876;0;8;3;11;1;2.0;1;8;4;1.0;1
879;1;9;1;6;13;4.0;1;8;5;1.0;1
880;0;10;4;11;1;10.0;1;8;3;1.0;2
881;1;4;6;19;13;2.0;4;9;4;3.0;2
882;0;9;5;16;1;4.0;1;9;5;3.0;1
884;1;10;7;12;13;7.0;3;9;4;1.0;1
886;1;10;7;11;13;7.0;4;9;4;3.0;1
889;1;4;6;21;22;10.0;4;9;3;3.0;2
890;1;9;7;15;1;7.0;1;10;4;1.0;2
891;1;4;5;21;13;8.0;3;10;4;1.0;2
893;0;7;1;20;13;7.0;3;11;4;3.0;1
894;1;8;1;18;13;7.0;2;12;4;3.0;1
922;0;7;3;7;13;7.0;4;10;3;3.0;2
937;0;7;4;20;13;7.0;3;3;4;3.0;1
944;0;6;2;22;13;8.0;1;6;4;3.0;2
949;1;7;4;21;7;2.0;2;6;5;3.0;1
950;1;8;4;21;13;4.0;2;6;5;3.0;1
951;0;6;3;21;13;8.0;4;7;6;1.0;2
952;0;3;2;14;13;4.0;4;8;6;3.0;2
954;1;6;2;24;13;7.0;2;9;6;2.0;1
958;1;4;3;7;13;4.0;2;5;4;1.0;1
960;0;6;3;22;13;7.0;4;1;6;3.0;1
962;0;5;4;6;13;2.0;4;1;4;1.0;2
967;1;4;7;21;1;2.0;1;1;4;3.0;2
968;1;6;7;19;13;2.0;3;1;5;3.0;2
969;1;8;2;19;12;4.0;4;1;4;1.0;2
972;0;2;7;11;13;4.0;4;2;6;1.0;2
974;1;5;3;8;13;10.0;2;2;5;1.0;1
975;1;2;1;15;12;8.0;4;2;3;3.0;2
976;0;6;3;1;13;7.0;3;2;4;3.0;1
977;1;4;3;24;13;4.0;4;1;3;1.0;2
978;1;12;1;12;12;8.0;4;1;4;2.0;2
979;0;6;5;17;2;8.0;1;1;4;3.0;1
981;0;5;4;20;1;2.0;1;2;4;1.0;5
982;0;6;4;20;13;4.0;1;2;5;1.0;5
984;0;4;4;20;13;10.0;1;2;4;1.0;5
985;1;7;4;6;1;7.0;1;2;4;3.0;2
986;0;4;6;18;13;3.0;2;2;4;3.0;8
987;0;11;6;19;13;7.0;1;2;4;3.0;1
989;0;2;3;17;13;10.0;4;2;5;1.0;2
990;0;10;4;15;1;7.0;1;2;4;3.0;1
991;1;10;4;15;1;7.0;1;2;4;3.0;1
993;0;8;7;11;7;7.0;2;3;2;3.0;3
994;1;9;7;11;13;7.0;2;3;4;3.0;3
995;0;10;1;9;13;2.0;4;1;4;1.0;1
999;0;7;6;2;7;7.0;2;1;5;3.0;1
1000;1;3;4;17;13;2.0;3;1;4;3.0;2
1001;0;3;6;6;1;4.0;1;2;6;3.0;1
1002;1;9;1;15;7;1.0;2;2;2;1.0;3
1003;1;8;1;15;7;7.0;2;2;2;1.0;3
1004;1;9;7;19;1;7.0;1;2;4;3.0;1
1007;1;5;7;13;1;7.0;1;2;5;1.0;1
1008;0;7;7;2;1;3.0;1;2;3;3.0;1
1009;1;5;3;14;13;7.0;4;3;4;3.0;5
1011;1;6;6;24;1;11.0;1;3;5;3.0;1
1012;0;11;5;19;13;7.0;4;3;4;3.0;2
1013;0;1;3;15;1;2.0;1;3;3;3.0;1
1015;1;7;6;17;13;2.0;4;4;5;3.0;2
1017;0;4;4;23;7;10.0;2;1;5;3.0;1
1018;1;9;4;15;1;2.0;1;2;5;1.0;1
1020;1;7;7;22;1;7.0;1;3;4;3.0;2
1023;1;7;7;19;13;7.0;2;3;4;3.0;1
1024;1;7;7;19;1;7.0;2;3;4;3.0;1
1025;1;10;6;12;13;7.0;4;3;3;1.0;2
1026;0;9;4;20;13;7.0;2;3;4;3.0;3
1028;1;8;1;12;12;7.0;4;3;4;1.0;1
1029;0;5;1;3;13;10.0;1;3;3;3.0;1
1030;1;9;6;19;13;7.0;4;4;4;3.0;2
1031;0;3;1;14;13;10.0;3;4;4;1.0;1
1032;0;8;1;16;13;8.0;4;4;4;1.0;2
1035;1;11;6;17;13;10.0;4;3;3;1.0;1
1037;1;8;1;21;12;7.0;4;4;6;3.0;2
1038;1;10;6;11;13;7.0;4;3;3;3.0;2
1041;0;12;2;15;13;4.0;4;4;5;1.0;4
1042;0;4;3;21;13;2.0;4;4;4;1.0;2
1043;1;5;6;23;13;10.0;2;4;4;3.0;1
1045;0;7;6;23;7;4.0;2;4;3;3.0;1
1050;1;6;4;14;1;2.0;1;1;4;3.0;8
1051;1;6;7;13;1;7.0;1;1;4;2.0;2
1052;0;8;1;22;13;7.0;4;1;4;3.0;8
1054;1;9;4;16;13;7.0;4;1;4;3.0;2
1056;0;7;6;15;13;10.0;4;1;4;1.0;4
1059;1;8;6;15;1;7.0;1;1;4;1.0;2
1061;0;5;3;20;13;2.0;4;2;4;3.0;2
1065;1;9;6;18;21;7.0;4;3;4;3.0;2
1067;0;7;7;3;13;7.0;3;4;4;3.0;1
1068;0;6;6;6;13;8.0;4;4;4;1.0;2
1069;1;10;3;21;13;10.0;4;4;5;3.0;2
1071;0;6;1;9;13;1.0;2;4;6;1.0;1
1073;1;9;1;9;13;7.0;4;1;4;3.0;2
1074;1;9;7;24;13;7.0;2;1;4;3.0;2
1076;0;5;2;17;13;8.0;4;2;6;1.0;2
1078;0;8;6;12;7;4.0;2;3;2;3.0;1
1080;0;5;1;4;13;7.0;1;5;4;3.0;1
1081;1;6;4;22;13;4.0;2;5;5;1.0;1
1086;0;3;1;7;13;8.0;4;4;4;1.0;8
1089;0;8;5;18;13;7.0;4;4;3;3.0;2
1090;1;7;1;20;13;7.0;3;4;4;3.0;2
1092;1;4;2;15;13;2.0;4;4;4;1.0;2
1093;0;3;5;23;13;10.0;2;4;6;1.0;1
1094;1;7;7;6;1;10.0;1;4;4;1.0;5
1096;0;4;6;23;4;10.0;1;5;7;1.0;1
1098;1;4;5;9;13;8.0;4;2;4;3.0;2
1099;0;6;1;23;13;7.0;4;4;4;3.0;2
1101;0;7;6;21;13;7.0;4;4;4;3.0;2
1102;0;7;3;23;7;7.0;2;3;4;3.0;1
1103;1;6;3;23;1;7.0;2;3;4;3.0;1
1104;0;11;3;23;13;7.0;2;3;4;3.0;1
1106;1;9;7;14;4;7.0;4;4;4;3.0;2
1111;1;8;7;20;13;7.0;2;2;4;3.0;3
1112;1;8;6;14;13;7.0;4;2;4;3.0;2
1113;1;7;2;16;13;4.0;4;3;3;3.0;2
1114;1;3;4;6;1;8.0;1;3;6;1.0;1
1116;0;12;4;13;8;7.0;4;3;2;3.0;1
1118;0;9;4;13;13;7.0;4;3;4;3.0;1
1120;1;5;5;2;2;7.0;4;3;4;1.0;1
1122;1;10;1;20;1;7.0;1;3;4;3.0;1
1124;1;10;3;12;13;10.0;4;4;4;3.0;2
1125;0;9;6;15;13;7.0;3;4;4;3.0;2
1126;0;4;1;2;7;7.0;2;5;2;3.0;2
1128;0;11;3;9;10;4.0;4;5;2;1.0;2
1130;1;4;5;11;13;8.0;4;5;4;3.0;2
1132;1;8;1;15;13;7.0;4;5;4;3.0;2
