id;SEVERITY_classes;age_classes;day_week;DEFORMED_classes;m_harm_classes;hour;impact1_classes;lgt_cond;make;man_coll;month;p_crash1;pcrash4;pcrash5;rel_road;reljct1;reljct2;rest_use;sex;speedrel_classes;typ_int;valign;ve_total;vnum_lan;vsurcond;vtrafway;weather_classes
11183;1;9;2;4;1;19;7;5;7.0;2;6;1;2;2;1;0;1;3.0;1.0;0;1;2;2;3;2;3;1
2506;1;10;7;4;1;15;13;1;8.0;4;3;1;2;2;1;0;1;1.0;1.0;0;1;2;2;4;2;3;1
22804;1;9;4;4;1;17;13;1;7.0;4;5;1;2;2;1;0;8;3.0;1.0;0;1;2;2;5;2;2;1
8444;1;6;3;4;1;10;13;1;7.0;4;10;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;2;1
10080;1;6;4;4;5;13;1;1;2.0;1;8;8;2;3;4;0;5;2.0;1.0;1;1;3;1;4;2;7;1
15233;1;3;7;4;1;4;1;3;10.0;1;9;1;2;2;1;1;2;3.0;1.0;0;3;2;2;4;2;3;1
6302;1;5;7;4;5;20;11;2;7.0;1;9;1;2;3;3;0;2;3.0;1.0;0;6;2;1;3;2;4;1
10998;0;5;4;4;1;20;1;2;2.0;1;2;1;2;2;1;1;5;1.0;1.0;0;1;2;4;2;2;7;1
3597;1;10;2;4;1;19;13;5;1.0;3;8;1;2;2;1;0;1;1.0;1.0;0;1;2;2;3;2;2;1
17296;0;8;3;4;1;19;10;1;2.0;4;8;1;2;2;1;0;2;2.0;1.0;0;2;2;2;3;2;3;1
2567;0;8;2;4;1;12;13;1;7.0;3;12;8;2;2;1;0;1;1.0;1.0;0;1;3;2;3;2;2;1
24642;1;7;7;2;5;10;1;1;2.0;1;6;1;3;2;1;0;1;2.0;1.0;0;1;2;1;3;2;6;1
4074;1;4;6;4;5;17;1;1;7.0;1;8;8;3;5;1;0;1;2.0;1.0;0;1;3;1;3;2;2;1
2399;1;7;4;4;1;13;1;1;7.0;1;5;1;2;2;1;0;2;2.0;1.0;1;2;2;2;5;2;5;1
5280;0;7;6;3;1;17;2;1;7.0;5;3;1;3;2;1;0;1;2.0;1.0;0;1;2;3;5;2;2;1
8461;0;7;7;4;5;9;13;1;7.0;1;11;8;3;3;5;0;1;3.0;1.0;1;1;5;1;3;2;2;1
11525;1;7;1;4;1;19;13;1;4.0;4;5;1;2;2;1;0;4;3.0;1.0;1;1;2;2;3;2;2;1
29335;1;4;7;2;1;17;12;1;2.0;6;8;8;2;2;1;0;1;3.0;1.0;0;1;4;2;3;2;2;1
1770;0;4;6;4;5;21;1;3;2.0;1;8;1;3;2;1;0;1;2.0;1.0;1;1;2;2;5;2;4;1
