id;Severity;age_classes;day_week;DEFORMED_classes;hour;impact1_classes;make;man_coll;month;reljct2;rest_use;vnum_lan;vtrafway
18978;0;3;7;4;1;7;2.0;2;10;1;3.0;3;3
16431;1;3;4;4;22;13;4.0;1;11;1;1.0;3;2
10290;0;10;1;3;12;7;7.0;1;4;2;3.0;3;2
8789;1;7;6;4;16;1;2.0;3;7;1;2.0;3;2
20915;0;7;2;1;5;13;2.0;2;9;2;1.0;4;6
10560;1;6;6;4;24;13;7.0;4;7;2;2.0;4;2
9749;1;7;5;4;19;12;7.0;1;7;1;1.0;3;2
16692;1;6;1;4;16;13;7.0;2;11;1;3.0;5;5
36687;0;4;1;4;4;1;2.0;1;6;8;3.0;1;1
1625;0;3;4;4;18;13;10.0;4;1;2;3.0;3;3
5790;0;3;2;1;24;13;2.0;1;12;1;2.0;5;5
9792;1;6;7;4;13;13;7.0;4;10;2;1.0;5;4
12007;1;7;7;4;19;13;7.0;2;1;3;3.0;3;3
17679;1;4;5;4;17;13;8.0;4;11;2;1.0;3;2
400;1;5;6;4;10;13;4.0;1;3;1;2.0;5;2
13489;0;9;7;4;22;1;10.0;1;4;2;2.0;3;2
18849;1;12;1;2;16;1;4.0;1;11;1;1.0;3;2
4930;0;6;4;4;19;13;2.0;1;7;1;3.0;3;2
18331;0;13;7;4;13;13;8.0;2;6;1;1.0;3;2
22281;0;3;5;4;8;12;2.0;5;3;1;1.0;6;4
11915;1;5;1;4;24;13;7.0;2;8;1;3.0;5;3
30498;1;5;5;4;11;22;10.0;5;6;1;4.0;4;6
89;0;2;7;4;9;18;2.0;4;11;8;3.0;3;2
16700;1;4;7;4;16;13;7.0;4;4;2;3.0;3;2
15377;1;13;7;4;7;18;7.0;1;1;1;2.0;6;4
9019;0;7;4;4;21;13;7.0;4;5;2;1.0;7;2
27769;1;7;6;4;21;13;11.0;1;6;1;2.0;3;2
24992;1;4;3;4;2;13;8.0;1;5;1;1.0;5;5
12947;1;5;5;4;14;4;7.0;4;5;2;1.0;5;2
14652;1;7;3;2;18;1;7.0;1;9;1;3.0;4;6
11212;0;4;1;4;3;13;10.0;1;6;1;1.0;3;2
24449;0;3;2;3;19;7;8.0;2;7;2;1.0;3;2
25321;1;4;7;4;18;21;8.0;5;12;1;2.0;6;4
5520;1;4;3;4;11;13;4.0;4;6;2;2.0;5;5
6633;1;11;7;4;10;2;8.0;4;1;2;1.0;3;2
10318;0;3;5;4;18;13;2.0;1;7;1;1.0;3;3
28726;0;8;6;2;6;15;7.0;1;8;1;3.0;4;4
32534;1;7;4;2;23;1;2.0;1;9;5;4.0;2;7
27715;1;7;1;2;15;1;6.0;1;12;1;2.0;3;2
33587;0;5;2;4;4;1;4.0;1;5;1;4.0;3;2
8406;1;8;5;4;7;13;2.0;4;9;2;1.0;3;2
11191;0;9;4;4;15;13;7.0;4;3;4;3.0;3;2
10105;0;4;1;4;20;13;4.0;4;10;8;1.0;3;3
6514;0;10;2;4;15;13;2.0;4;4;2;1.0;3;4
32741;0;9;7;3;24;13;2.0;1;3;1;1.0;3;2
32610;0;5;4;2;1;11;4.0;1;8;1;4.0;2;6
9;1;9;4;4;10;13;2.0;4;3;2;2.0;3;2
6203;1;7;5;4;19;5;2.0;4;6;1;3.0;4;3
3943;0;10;4;4;19;1;10.0;1;10;1;3.0;3;2
31157;0;5;2;2;15;13;10.0;2;8;1;4.0;6;4
8877;0;3;7;4;1;13;2.0;1;4;3;3.0;5;3
16877;0;4;4;4;3;13;4.0;4;5;2;2.0;3;2
18465;1;8;7;4;15;2;7.0;1;9;1;3.0;3;2
22576;0;10;5;4;14;13;2.0;1;3;3;3.0;3;2
16514;1;8;4;2;17;1;7.0;1;3;2;1.0;3;2
14729;0;12;6;4;12;1;10.0;3;6;1;1.0;3;2
26453;0;6;3;4;7;1;7.0;1;6;1;3.0;3;2
6601;0;7;3;4;16;13;2.0;3;11;1;1.0;3;2
4937;0;11;5;4;21;13;7.0;2;7;1;3.0;3;2
13313;1;3;1;4;15;13;2.0;3;5;1;1.0;3;2
13231;0;9;1;4;21;13;7.0;4;8;2;1.0;5;2
23446;0;5;1;2;1;19;4.0;7;3;1;2.0;5;4
7076;1;6;2;4;22;21;10.0;1;7;1;3.0;3;3
11704;1;6;7;4;16;1;2.0;1;4;2;3.0;5;3
24429;1;7;4;4;17;13;7.0;4;9;8;3.0;5;2
5891;0;9;5;4;16;1;4.0;1;9;1;3.0;3;2
17741;1;10;4;3;22;15;4.0;1;4;1;1.0;3;2
7545;1;3;7;4;18;7;2.0;2;6;1;1.0;3;3
30005;0;10;1;4;17;1;7.0;1;5;1;4.0;3;4
23431;0;7;1;4;23;22;2.0;5;2;1;2.0;4;6
18054;1;8;5;4;17;13;10.0;4;8;8;1.0;3;3
10995;1;12;1;4;12;12;8.0;4;1;2;2.0;3;3
32157;0;6;2;4;13;21;8.0;5;9;2;4.0;3;2
10598;0;12;7;3;15;13;2.0;1;7;1;1.0;2;3
3541;1;7;6;4;16;13;10.0;1;10;1;3.0;3;2
644;1;9;7;4;16;18;7.0;5;9;8;3.0;3;3
19656;1;8;1;2;6;1;4.0;1;3;1;1.0;5;3
20830;0;2;4;4;15;10;10.0;4;3;2;1.0;3;2
18270;0;7;3;3;18;10;7.0;6;10;1;1.0;3;2
6125;0;12;4;4;13;8;7.0;4;3;1;3.0;3;3
24673;0;10;6;4;24;7;7.0;2;8;3;1.0;5;5
30985;0;8;3;2;22;10;7.0;4;6;2;3.0;5;2
13718;0;6;3;4;20;13;7.0;1;6;1;3.0;3;2
4702;1;8;5;4;12;13;4.0;1;5;1;1.0;3;2
30593;1;4;1;2;18;18;7.0;5;9;1;3.0;5;2
2809;1;8;7;4;19;15;8.0;1;5;1;1.0;3;2
17900;1;3;5;4;1;13;7.0;2;8;1;3.0;3;2
